,Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA,Category,Directory
43,2055,1180.2149760778136,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
44,2056,1202.9819072229868,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
45,2057,1224.8317292270876,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
46,2058,1245.7141135582358,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
47,2059,1265.5787316845508,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
48,2060,1284.375255074153,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_4DS.csv
0,2012,38.81960000000001,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
1,2013,54.04360000000001,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
2,2014,75.2292,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
3,2015,82.03903753872576,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
4,2016,88.84887507745151,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
5,2017,112.47904564071764,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
6,2018,138.9304708354434,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
7,2019,168.12794716343515,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_IEA_ETP_2016_2DS.csv
