,VMA number,Filename,Title on xls,Has data?,Use weight?,Fixed Mean,Fixed High,Fixed Low,Category,Directory
21,22,N2O_CO2eq_Tons_Reduced,N2O-CO2eq Tons Reduced,False,False,,,,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
22,23,2005_2014_Average_CONVENTIONAL_Fuel_Price_per_functional_unit,2005-2014 Average CONVENTIONAL Fuel Price per functional unit,True,True,0.03446521920306304,0.041092366443973835,0.02783807196215224,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
23,24,Weighted_Average_CONVENTIONAL_Plant_Efficiency,Weighted Average CONVENTIONAL Plant Efficiency ,True,True,0.4102147445137418,0.4736845414315057,0.3467449475959779,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
24,25,Coal_Plant_Efficiency,Coal Plant Efficiency,True,False,0.36697534187007497,0.4322357828600367,0.3017149008801132,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
25,26,Natural_Gas_Plant_Efficiency,Natural Gas Plant Efficiency,True,False,0.4733587008768759,0.565872832325824,0.3808445694279278,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
26,27,Oil_Plant_Efficiency,Oil Plant Efficiency,True,False,0.39,0.39,0.39,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
27,28,Learning_Rate,Learning Rate (%),True,False,0.096,0.15713163602486788,0.034868363975132134,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
28,29,Share_of_Onshore_wind_on_total_Wind_Generation,Share of Onshore wind on total Wind Generation,True,False,0.8660330519192248,0.9347925790890034,0.7972735247494461,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
0,1,Current_Adoption,Current Adoption,True,False,0.21126543371830106,0.4373111777365147,-0.014780310299912587,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
1,2,CONVENTIONAL_First_Cost_per_Implementation_Unit_for_replaced_practices_technologies,CONVENTIONAL First Cost per Implementation Unit for replaced practices/technologies,True,True,4.695343157987457,10.709616640974863,0.013234175249711874,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
2,3,SOLUTION_First_Cost_per_Implementation_Unit,SOLUTION First Cost per Implementation Unit,True,False,19.479687457136013,37.21036660214932,1.932650219691348,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
3,4,Lifetime_Capacity_CONVENTIONAL,Lifetime Capacity - CONVENTIONAL,True,True,7058.394160583942,14624.185301533467,191.16788321167888,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
